# Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
21,1079,4,176,67,2162,0,0,0,0,11,3,2,1,11,2,1,0
6,91,0,0,56,955,0,0,0,0,11,3,2,4,2,2,1,1
0,0,0,0,69,1002,0,0,0,0,11,2,2,4,2,2,0,0
8,212,3,124,52,968,0,0,214,0,11,2,2,1,2,2,0,1
0,0,0,0,20,301,0,0,0,0,5,3,2,1,3,2,0,0
3,143,2,29,3,380,0,0,0,0,5,2,2,4,3,0,0,0
6,158,1,430,146,5602,0,0,6,0,11,2,10,7,2,2,0,1
0,0,0,0,65,1803,0,0,0,0,5,3,2,6,3,2,0,0
0,0,0,0,16,381,0,0,0,0,11,3,2,1,2,2,0,0
4,75,0,0,10,158,0,0,20,0,10,1,1,3,2,2,1,1
0,0,0,0,1,0,0,0,0,0,12,3,2,4,11,2,1,0
6,127,0,0,162,5509,0,0,0,0,11,2,2,1,1,2,0,0
0,0,0,0,1,0,0,0,0,0,11,2,2,1,3,2,0,0
0,0,0,0,7,314,0,0,0,0,3,2,2,3,1,2,0,0
10,274,5,247,61,2267,0,0,48,0,11,2,2,1,2,2,0,1
0,0,0,0,7,259,0,0,0,0,11,2,2,8,2,2,0,0
7,140,1,18,20,318,0,0,0,0,10,2,2,3,2,0,0,0
7,75,0,0,31,489,0,0,27,0,3,2,2,5,2,2,1,1
0,0,0,0,16,1062,0,0,54,0,9,4,1,1,4,0,0,1
5,244,0,0,21,998,0,0,41,0,5,3,3,1,4,2,0,1
0,0,0,0,5,147,0,0,0,0,12,2,2,2,8,2,0,0
1,82,0,0,59,1927,0,0,23,0,5,2,2,9,13,2,0,1
1,27,0,0,20,922,0,0,103,0,12,2,2,6,2,0,0,1
4,102,2,79,133,3713,0,0,28,0,11,3,2,1,6,2,1,0
5,85,0,0,25,1194,0,0,11,0,5,2,2,1,2,0,0,1
1,12,2,11,18,974,0,0,0,0,11,3,2,1,2,0,0,0
1,17,1,31,45,812,0,0,4,0,8,2,4,3,2,2,0,1
0,0,0,0,15,1677,0,0,0,0,11,3,2,4,2,2,1,0
3,224,5,487,74,1845,0,0,34,0,11,2,2,1,10,2,1,1
1,25,0,0,10,361,0,0,60,0,12,2,2,1,1,2,0,1
6,86,1,2,39,1050,0,0,13,0,5,3,2,6,3,2,0,1
0,0,0,0,7,295,0,0,0,0,11,2,4,1,2,2,0,1
4,120,0,0,13,293,0,0,0,0,3,1,2,1,10,2,0,0
3,105,1,0,286,9952,0,0,0,0,11,2,2,1,2,2,0,1
1,7,4,103,99,3517,0,0,0,0,11,2,2,1,8,2,0,1
7,164,1,28,115,3427,0,0,4,0,11,2,2,4,10,2,0,1
2,42,2,10,43,1543,0,0,8,0,12,8,13,9,20,1,0,1
7,53,5,199,77,2194,0,0,44,0,11,2,2,2,2,2,0,1
0,0,0,0,11,814,0,0,0,0,3,1,1,1,2,0,0,0
0,0,1,41,45,1754,0,0,7,0,5,3,2,3,6,2,1,0
3,63,0,0,8,253,0,0,0,0,12,2,2,7,2,0,0,0
0,0,0,0,5,90,0,0,0,0,5,2,2,6,6,2,0,0
9,116,4,208,57,1813,0,0,30,0,11,1,2,1,2,2,0,1
0,0,0,0,8,170,0,0,37,0,8,2,5,1,5,0,0,1
5,68,2,9,32,1195,0,0,32,0,11,2,5,3,2,2,0,1
4,176,1,40,72,1548,0,0,1,0,8,2,4,3,5,2,0,1
6,352,0,0,21,696,0,0,75,0,3,2,2,6,10,0,1,1
0,0,0,0,28,1107,0,0,226,0,12,8,13,9,20,1,0,1
5,79,0,0,36,1081,0,0,0,0,9,1,2,2,2,2,1,0
0,0,0,0,1,0,0,0,0,0,5,1,1,2,2,2,0,0
5,40,0,0,35,840,0,0,64,0,11,2,2,1,1,2,0,1
0,0,0,0,26,1377,0,0,92,0,3,2,2,7,2,2,0,1
0,0,0,0,28,859,0,0,17,0,11,4,1,6,2,0,0,1
2,229,2,29,8,212,0,0,0,0,12,3,2,3,2,0,0,0
13,278,1,46,150,5575,0,0,1,0,12,2,2,2,1,2,0,1
0,0,0,0,16,1027,0,0,0,0,3,1,1,1,3,2,0,0
1,4,0,0,30,1409,0,0,0,0,11,3,2,3,2,2,1,0
0,0,0,0,5,151,0,0,0,0,5,7,1,3,1,2,0,0
9,192,2,114,60,1394,0,0,63,0,12,2,2,7,2,2,0,1
1,6,0,0,15,579,0,0,63,0,12,1,1,4,2,0,0,1
1,21,0,0,81,2930,0,0,0,0,11,2,2,3,1,2,1,1
0,0,1,0,10,326,0,0,0,0,5,1,1,4,1,2,1,0
1,24,0,0,17,498,0,0,76,0,3,2,2,6,10,2,0,1
5,86,0,0,11,396,0,0,0,0,11,3,2,3,8,0,1,0
2,30,1,0,24,567,0,0,0,0,12,2,5,1,2,2,0,0
8,176,1,141,20,651,0,0,19,0,11,2,2,4,2,2,0,1
1,3,0,0,161,3763,0,0,0,0,11,1,1,1,2,2,0,1
